name:name	displayName:text	level:integer	power:number	description:text
###[[[
###local rows = {}
###for i = 1, 5 do
###    local name = "item" .. i
###    local display = "Generated Item " .. i
###    local level = i * 10
###    -- Using library function mathLib.lerp for power scaling
###    local power = mathLib.lerp(1, 50, i / 5)
###    local desc = "Power scaled via mathLib.lerp at " .. (i*20) .. "%"
###    rows[#rows+1] = name .. "\t" .. display .. "\t" .. level .. "\t" .. power .. "\t" .. desc
###end
###return table.concat(rows, "\n")
###]]]
item1	Generated Item 1	10	10.8	Power scaled via mathLib.lerp at 20%
item2	Generated Item 2	20	20.6	Power scaled via mathLib.lerp at 40%
item3	Generated Item 3	30	30.4	Power scaled via mathLib.lerp at 60%
item4	Generated Item 4	40	40.2	Power scaled via mathLib.lerp at 80%
item5	Generated Item 5	50	50.0	Power scaled via mathLib.lerp at 100%
###[[[end]]]
manualEntry	Manual Entry	99	100.0	This row was added manually after the generated ones
